# ensayo 2026-09-14 18:31:21
# lc1_cuentas_por_N=0  lc2_cuentas_por_N=0.0  lc2_tara=0
# repeticiones_pedidas=1  B=1.000 rev (posicion)
# lc1_base ya lleva restada la tara del firmware; lc1_raw y lc2_raw son crudas
t_ms,t_rel_s,rep,fase,pos_rev,lc1_raw,lc1_base,lc2_raw,rpm,par_x10,ref_rpm,lim_a,lim_b,estado,work_us
2933238,0.000,1,hacia_B,-0.0127,7899,-336,-125633,5,-348,20,1,0,5,10863
2933288,0.050,1,hacia_B,-0.0077,7899,-334,-141828,6,-336,20,1,0,5,10996
2933338,0.100,1,hacia_B,0.0015,7899,-332,-126947,11,-333,20,1,0,5,10997
2933388,0.150,1,hacia_B,0.0140,7899,-328,-140216,15,-334,20,1,0,5,10996
2933438,0.200,1,hacia_B,0.0290,7883,-326,-125003,18,-331,20,1,0,5,10882
2933488,0.250,1,hacia_B,0.0457,7883,-324,-141230,20,-335,20,1,0,5,10996
2933538,0.300,1,hacia_B,0.0632,7883,-323,-123283,21,-337,20,0,0,5,10996
2933588,0.350,1,hacia_B,0.0798,7883,-323,-141152,20,-342,20,0,0,5,10998
2933638,0.400,1,hacia_B,0.0932,7893,-323,-125475,16,-335,20,0,0,5,10880
2933688,0.450,1,hacia_B,0.1032,7893,-324,-140128,12,-324,20,0,0,5,10996
2933738,0.500,1,hacia_B,0.1140,7893,-324,-123461,13,-316,20,0,0,5,10998
2933788,0.550,1,hacia_B,0.1232,7893,-325,-137602,11,-307,20,0,0,5,10994
2933838,0.600,1,hacia_B,0.1348,7901,-324,-123759,14,-306,20,0,0,5,10882
2933888,0.650,1,hacia_B,0.1490,7901,-322,-140144,17,-309,20,0,0,5,10995
2933938,0.700,1,hacia_B,0.1640,7901,-320,-123163,18,-307,20,0,0,5,10996
2933988,0.750,1,hacia_B,0.1807,7901,-317,-139350,20,-309,20,0,0,5,10997
2934038,0.800,1,hacia_B,0.1965,7903,-314,-125551,19,-307,20,0,0,5,10883
2934088,0.850,1,hacia_B,0.2123,7903,-311,-137650,19,-302,20,0,0,5,10994
2934138,0.900,1,hacia_B,0.2290,7903,-309,-123117,20,-307,20,0,0,5,10996
2934188,0.950,1,hacia_B,0.2465,7903,-307,-142524,21,-304,20,0,0,5,10995
2934238,1.000,1,hacia_B,0.2623,7912,-306,-124765,19,-305,20,0,0,5,10885
2934288,1.050,1,hacia_B,0.2782,7912,-306,-139732,19,-308,20,0,0,5,10994
2934338,1.100,1,hacia_B,0.2932,7912,-305,-124481,18,-306,20,0,0,5,10996
2934388,1.150,1,hacia_B,0.3098,7912,-303,-142728,20,-299,20,0,0,5,10996
2934438,1.200,1,hacia_B,0.3273,7909,-302,-125279,21,-306,20,0,0,5,10884
2934488,1.250,1,hacia_B,0.3465,7909,-301,-139244,23,-312,20,0,0,5,10994
2934538,1.300,1,hacia_B,0.3657,7909,-299,-125205,23,-313,20,0,0,5,10995
2934588,1.350,1,hacia_B,0.3865,7909,-299,-141222,25,-312,20,0,0,5,10996
2934638,1.400,1,hacia_B,0.4057,7918,-298,-126927,23,-311,20,0,0,5,10885
2934688,1.450,1,hacia_B,0.4240,7918,-298,-140972,22,-311,20,0,0,5,10997
2934738,1.500,1,hacia_B,0.4423,7918,-297,-125799,22,-314,20,0,0,5,10998
2934788,1.550,1,hacia_B,0.4590,7918,-297,-139328,20,-319,20,0,0,5,10995
2934838,1.600,1,hacia_B,0.4765,7930,-296,-127017,21,-324,20,0,0,5,10882
2934888,1.650,1,hacia_B,0.4940,7930,-295,-140136,21,-323,20,0,0,5,10996
2934938,1.700,1,hacia_B,0.5115,7930,-294,-125219,21,-328,20,0,0,5,10997
2934988,1.750,1,hacia_B,0.5273,7930,-291,-142794,19,-326,20,0,0,5,10995
2935038,1.800,1,hacia_B,0.5457,7930,-289,-122269,22,-328,20,0,0,5,10884
2935088,1.850,1,hacia_B,0.5640,7930,-286,-138710,22,-326,20,0,0,5,10995
2935138,1.900,1,hacia_B,0.5832,7930,-285,-126435,23,-330,20,0,0,5,10997
2935188,1.950,1,hacia_B,0.6023,7930,-283,-140546,23,-328,20,0,0,5,10997
2935238,2.000,1,hacia_B,0.6198,7935,-283,-125481,21,-327,20,0,0,5,10884
2935288,2.050,1,hacia_B,0.6382,7935,-281,-139780,22,-332,20,0,0,5,10997
2935338,2.100,1,hacia_B,0.6557,7935,-281,-124833,21,-333,20,0,0,5,10995
2935388,2.150,1,hacia_B,0.6732,7935,-280,-140030,21,-333,20,0,0,5,10998
2935438,2.200,1,hacia_B,0.6898,7943,-279,-126279,20,-333,20,0,0,5,10883
2935488,2.250,1,hacia_B,0.7048,7943,-279,-138830,18,-329,20,0,0,5,10993
2935538,2.300,1,hacia_B,0.7207,7943,-277,-127803,19,-330,20,0,0,5,10997
2935588,2.350,1,hacia_B,0.7373,7943,-275,-142382,20,-337,20,0,0,5,10998
2935638,2.400,1,hacia_B,0.7540,7952,-273,-128159,20,-335,20,0,0,5,10887
2935688,2.450,1,hacia_B,0.7707,7952,-272,-141784,20,-335,20,0,0,5,10996
2935738,2.500,1,hacia_B,0.7873,7952,-269,-128871,20,-329,20,0,0,5,10996
2935788,2.550,1,hacia_B,0.8032,7952,-267,-137548,19,-333,20,0,0,5,10999
2935838,2.600,1,hacia_B,0.8198,7961,-265,-123683,20,-339,20,0,0,5,10878
