# ensayo 2026-09-14 19:52:42
# lc1_cuentas_por_N=0
# repeticiones_pedidas=1  B=1.000 rev (posicion)
# lc1_base ya lleva restada la tara del firmware; lc1_raw es cruda
t_ms,t_rel_s,rep,fase,pos_rev,lc1_raw,lc1_base,rpm,par_x10,ref_rpm,lim_a,lim_b,estado,work_us
4002204,0.000,1,hacia_B,-0.0133,7923,-316,3,-362,30,1,0,5,10858
4002254,0.050,1,hacia_B,-0.0083,7923,-314,6,-345,30,1,0,5,10997
4002304,0.100,1,hacia_B,0.0017,7923,-312,12,-336,30,1,0,5,10999
4002354,0.150,1,hacia_B,0.0175,7923,-308,19,-335,30,1,0,5,10998
4002404,0.200,1,hacia_B,0.0383,7886,-305,25,-333,30,0,0,5,10884
4002454,0.250,1,hacia_B,0.0633,7886,-303,30,-333,30,0,0,5,10998
4002504,0.300,1,hacia_B,0.0875,7886,-301,29,-333,30,0,0,5,10998
4002554,0.350,1,hacia_B,0.1108,7886,-302,28,-329,30,0,0,5,11000
4002604,0.400,1,hacia_B,0.1300,7920,-301,23,-319,30,0,0,5,10882
4002654,0.450,1,hacia_B,0.1458,7920,-301,19,-310,30,0,0,5,10997
4002704,0.500,1,hacia_B,0.1617,7920,-301,19,-306,30,0,0,5,10998
4002754,0.550,1,hacia_B,0.1783,7920,-301,20,-300,30,0,0,5,10998
4002804,0.600,1,hacia_B,0.1983,7916,-299,24,-303,30,0,0,5,10882
4002854,0.650,1,hacia_B,0.2242,7916,-298,31,-298,30,0,0,5,10998
4002904,0.700,1,hacia_B,0.2492,7916,-295,30,-310,30,0,0,5,10998
4002954,0.750,1,hacia_B,0.2758,7916,-291,32,-305,30,0,0,5,10998
4003004,0.800,1,hacia_B,0.3042,7937,-288,34,-310,30,0,0,5,10874
4003054,0.850,1,hacia_B,0.3325,7937,-286,34,-315,30,0,0,5,10996
4003104,0.900,1,hacia_B,0.3608,7937,-284,34,-319,30,0,0,5,10999
4003154,0.950,1,hacia_B,0.3892,7937,-282,34,-322,30,0,0,5,10999
4003204,1.000,1,hacia_B,0.4167,7941,-280,33,-322,30,0,0,5,10878
4003254,1.050,1,hacia_B,0.4442,7941,-279,33,-322,30,0,0,5,10997
4003304,1.100,1,hacia_B,0.4717,7941,-278,33,-321,30,0,0,5,11000
4003354,1.150,1,hacia_B,0.4975,7941,-275,31,-331,30,0,0,5,10998
4003404,1.200,1,hacia_B,0.5258,7947,-273,34,-328,30,0,0,5,10878
4003454,1.250,1,hacia_B,0.5533,7947,-271,33,-334,30,0,0,5,10997
4003504,1.300,1,hacia_B,0.5792,7947,-269,31,-331,30,0,0,5,10999
4003554,1.350,1,hacia_B,0.6067,7947,-268,33,-335,30,0,0,5,10999
4003604,1.400,1,hacia_B,0.6342,7958,-266,33,-343,30,0,0,5,10882
4003654,1.450,1,hacia_B,0.6608,7958,-263,32,-334,30,0,0,5,10999
4003704,1.500,1,hacia_B,0.6875,7958,-261,32,-340,30,0,0,5,10999
4003754,1.550,1,hacia_B,0.7125,7958,-258,30,-339,30,0,0,5,10997
4003804,1.600,1,hacia_B,0.7375,7969,-256,30,-338,30,0,0,5,10886
4003854,1.650,1,hacia_B,0.7608,7969,-254,28,-340,30,0,0,5,10998
4003904,1.700,1,hacia_B,0.7858,7969,-251,30,-340,30,0,0,5,10998
4003954,1.750,1,hacia_B,0.8092,7969,-248,28,-336,30,0,0,5,11000
4004004,1.800,1,hacia_B,0.8342,7979,-246,30,-332,30,0,0,5,10883
4004054,1.850,1,hacia_B,0.8592,7979,-243,30,-336,30,0,0,5,11000
4004104,1.900,1,hacia_B,0.8842,7979,-240,30,-335,30,0,0,5,10996
4004154,1.950,1,hacia_B,0.9092,7979,-238,30,-334,30,0,0,5,10996
4004204,2.000,1,hacia_B,0.9342,7985,-235,30,-335,30,0,0,5,10874
4004254,2.050,1,hacia_B,0.9600,7985,-232,31,-332,30,0,0,5,10997
4004304,2.100,1,hacia_B,0.9842,7985,-229,29,-335,30,0,0,5,10999
4004354,2.150,1,hacia_B,1.0083,7985,-227,29,-335,30,0,0,5,10998
4004404,2.200,1,hacia_B,1.0325,7996,-224,29,-338,30,0,0,5,10878
4004454,2.250,1,hacia_B,1.0583,7996,-222,31,-332,30,0,0,5,10999
4004504,2.300,1,hacia_B,1.0817,7996,-219,28,-331,30,0,0,5,10999
4004554,2.350,1,hacia_B,1.1067,7996,-217,30,-333,30,0,0,5,10999
4004604,2.400,1,hacia_B,1.1300,8018,-215,28,-334,30,0,0,5,10880
4004654,2.450,1,hacia_B,1.1542,8018,-212,29,-329,30,0,0,5,10998
4004704,2.500,1,hacia_B,1.1775,8018,-210,28,-326,30,0,0,5,10999
4004754,2.550,1,hacia_B,1.2000,8018,-206,27,-326,30,0,0,5,10999
