# ensayo 2026-09-21 19:02:24
# lc1_cuentas_por_N=14.41  lc1_cero_N=51.78  lc1_int16=0
# repeticiones_pedidas=1  B=1.000 rev (posicion)
# lc1_base ya lleva restada la tara del firmware; lc1_raw es cruda
t_ms,t_rel_s,rep,fase,pos_rev,lc1_raw,lc1_base,rpm,par_x10,ref_rpm,lim_a,lim_b,estado,work_us
3407315,0.000,1,hacia_A,0.0008,8176,-34,0,-46,-30,0,1,4,10859
3407365,0.050,1,hacia_A,-0.0008,8176,-35,-2,-67,-30,0,1,4,10996
3407415,0.100,1,hacia_A,-0.0017,8176,-35,-1,-83,-30,0,1,4,10996
3407465,0.150,1,hacia_A,-0.0033,8176,-35,-2,-106,-30,0,1,4,10997
3407515,0.200,1,hacia_A,-0.0067,8144,-36,-4,-128,-30,0,1,4,10875
3407565,0.250,1,hacia_A,-0.0142,8144,-36,-9,-138,-30,0,1,4,10997
3407615,0.300,1,hacia_A,-0.0217,8144,-38,-9,-160,-30,0,1,4,10996
3407665,0.350,1,hacia_A,-0.0333,8144,-42,-14,-165,-30,0,1,4,10997
3407715,0.400,1,hacia_A,-0.0467,8113,-48,-16,-174,-30,0,1,4,10876
3407765,0.450,1,hacia_A,-0.0592,8113,-55,-15,-187,-30,0,1,4,10997
3407815,0.500,1,hacia_A,-0.0708,8113,-62,-14,-197,-30,0,1,4,10995
3407865,0.550,1,hacia_A,-0.0850,8113,-70,-17,-205,-30,0,1,4,10999
3407915,0.600,1,hacia_A,-0.0983,8095,-78,-16,-221,-30,0,0,4,10865
3407965,0.650,1,hacia_A,-0.1142,8095,-87,-19,-224,-30,0,0,4,10995
3408015,0.700,1,hacia_A,-0.1317,8095,-95,-21,-229,-30,0,0,4,10996
3408065,0.750,1,hacia_A,-0.1483,8095,-101,-20,-239,-30,0,0,4,10999
3408115,0.800,1,hacia_A,-0.1658,8094,-105,-21,-249,-30,0,0,4,10880
3408165,0.850,1,hacia_A,-0.1842,8094,-109,-22,-250,-30,0,0,4,10998
3408215,0.900,1,hacia_A,-0.2025,8094,-112,-22,-258,-30,0,0,4,10995
3408265,0.950,1,hacia_A,-0.2208,8094,-114,-22,-267,-30,0,0,4,10996
3408315,1.000,1,hacia_A,-0.2383,8076,-116,-21,-277,-30,0,0,4,10878
3408365,1.050,1,hacia_A,-0.2558,8076,-117,-21,-283,-30,0,0,4,10997
3408415,1.100,1,hacia_A,-0.2717,8076,-118,-19,-290,-30,0,0,4,10998
3408465,1.150,1,hacia_A,-0.2875,8076,-120,-19,-302,-30,0,0,4,10996
3408515,1.200,1,hacia_A,-0.3025,8054,-123,-18,-311,-30,0,0,4,10874
3408565,1.250,1,hacia_A,-0.3158,8054,-127,-16,-315,-30,0,0,4,10996
3408615,1.300,1,hacia_A,-0.3300,8054,-132,-17,-328,-30,0,0,4,10996
3408665,1.350,1,hacia_A,-0.3433,8054,-137,-16,-342,-30,0,0,4,10997
3408715,1.400,1,hacia_A,-0.3575,8029,-142,-17,-353,-30,0,0,4,10876
3408765,1.450,1,hacia_A,-0.3692,8029,-148,-14,-366,-30,0,0,4,10997
3408815,1.500,1,hacia_A,-0.3817,8029,-155,-15,-378,-30,0,0,4,10995
3408865,1.550,1,hacia_A,-0.3950,8029,-161,-16,-384,-30,0,0,4,10998
3408915,1.600,1,hacia_A,-0.4075,8007,-167,-15,-401,-30,0,0,4,10868
3408965,1.650,1,hacia_A,-0.4217,8007,-171,-17,-406,-30,0,0,4,10996
3409015,1.700,1,hacia_A,-0.4375,8007,-176,-19,-414,-30,0,0,4,10997
3409065,1.750,1,hacia_A,-0.4542,8007,-182,-20,-422,-30,0,0,4,10997
3409115,1.800,1,hacia_A,-0.4725,8000,-187,-22,-426,-30,0,0,4,10873
3409165,1.850,1,hacia_A,-0.4925,8000,-191,-24,-432,-30,0,0,4,10996
3409215,1.900,1,hacia_A,-0.5125,8000,-194,-24,-437,-30,0,0,4,10997
3409265,1.950,1,hacia_A,-0.5325,8000,-198,-24,-441,-30,0,0,4,10997
3409315,2.000,1,hacia_A,-0.5542,7990,-202,-26,-441,-30,0,0,4,10878
3409365,2.050,1,hacia_A,-0.5775,7990,-206,-28,-446,-30,0,0,4,10994
3409415,2.100,1,hacia_A,-0.6017,7990,-209,-29,-444,-30,0,0,4,10998
3409465,2.150,1,hacia_A,-0.6267,7990,-211,-30,-442,-30,0,0,4,10995
3409515,2.200,1,hacia_A,-0.6500,7975,-214,-28,-444,-30,0,0,4,10870
3409565,2.250,1,hacia_A,-0.6750,7975,-217,-30,-442,-30,0,0,4,10997
3409615,2.300,1,hacia_A,-0.6983,7975,-219,-28,-444,-30,0,0,4,10995
3409665,2.350,1,hacia_A,-0.7225,7975,-222,-29,-444,-30,0,0,4,10998
3409715,2.400,1,hacia_A,-0.7458,7967,-224,-28,-453,-30,0,0,4,10872
3409765,2.450,1,hacia_A,-0.7675,7967,-227,-26,-447,-30,0,0,4,10996
3409815,2.500,1,hacia_A,-0.7908,7967,-230,-28,-448,-30,0,0,4,10997
3409865,2.550,1,hacia_A,-0.8142,7967,-233,-28,-451,-30,0,0,4,10994
3409915,2.600,1,hacia_A,-0.8358,7947,-236,-26,-458,-30,0,0,4,10868
3409965,2.650,1,hacia_A,-0.8592,7947,-239,-28,-458,-30,0,0,4,10997
3410015,2.700,1,hacia_A,-0.8800,7947,-244,-25,-461,-30,0,0,4,10997
3410065,2.750,1,hacia_A,-0.9025,7947,-248,-27,-463,-30,0,0,4,10997
3410115,2.800,1,hacia_A,-0.9258,7939,-252,-28,-468,-30,0,0,4,10875
